Food Name,Glycemic Index,Calories,Carbohydrates,Protein,Fat,Suitable for Diabetes,Suitable for Blood Pressure,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content,Food Type,Suitable for Diabetes,Food Type
Zucchini,0.157894737,0.018847007,0.04,0.038709677,0.003,1,1,0.007272727,0.209964413,0.045918367,0.023426061,0.031976744,Other,1,Fruit
Cauliflower,0.157894737,0.027716186,0.068387097,0.061290323,0.003,1,1,0.027272727,0.212811388,0.038265306,0.032210835,0.058139535,Vegetable,1,Fruit
Artichokes,0.157894737,0.05210643,0.135483871,0.106451613,0.002,1,1,0.085454545,0.244128114,0.153061224,0.030746706,0.156976744,Vegetable,1,Fruit
Berries (mixed),0.421052632,0.04767184,0.123870968,0.029032258,0.004,1,1,0.000909091,0.05480427,0.015306122,0.023426061,0.066860465,Vegetable,1,Fruit
Apple,0.410526316,0.057649667,0.180645161,0.009677419,0.002,1,1,0.000909091,0.076156584,0.012755102,0.008784773,0.069767442,Vegetable,1,Fruit
Orange,0.421052632,0.068736142,0.198709677,0.038709677,0.002,1,1,0,0.168683274,0.035714286,0.0761347,0.090116279,Carb,1,Fruit
Grapes,0.557894737,0.076496674,0.232258065,0.022580645,0.002,1,1,0.001818182,0.13594306,0.017857143,0.019033675,0.026162791,Carb,1,Fruit
Watermelon,0.8,0.033259424,0.098064516,0.019354839,0.002,1,1,0.000909091,0.079715302,0.025510204,0.016105417,0.01744186,Other,1,Fruit
Pineapple,0.694736842,0.055432373,0.169032258,0.016129032,0.001,1,1,0.000909091,0.077580071,0.030612245,0.019033675,0.040697674,Other,1,Fruit
Strawberries,0.421052632,0.035476718,0.099354839,0.022580645,0.003,1,1,0.000909091,0.108896797,0.033163265,0.023426061,0.058139535,Vegetable,1,Fruit
Blueberries,0.557894737,0.063192905,0.187096774,0.022580645,0.003,1,1,0.000909091,0.05480427,0.015306122,0.008784773,0.069767442,Vegetable,1,Fruit
Avocado,0.105263158,0.177383592,0.109677419,0.064516129,0.147,1,1,0.006363636,0.34519573,0.073979592,0.017569546,0.194767442,Other,1,Fruit
Cucumber,0.157894737,0.017738359,0.046451613,0.019354839,0.002,1,1,0.001818182,0.054092527,0.017857143,0.023426061,0.014534884,Other,1,Fruit
Carrots,0.747368421,0.045454545,0.123870968,0.029032258,0.002,1,1,0.062727273,0.227758007,0.030612245,0.048316252,0.081395349,Vegetable,1,Fruit
Sweet Potato,0.736842105,0.099778271,0.270967742,0.064516129,0.002,1,1,0.037272727,0.239857651,0.068877551,0.043923865,0.095930233,Carb,1,Fruit
Quinoa Salad,0.557894737,0.130820399,0.263225806,0.135483871,0.025,1,1,0.008181818,0.108185053,0.163265306,0.027818448,0.075581395,Carb,1,Fruit
Eggplant,0.157894737,0.027716186,0.077419355,0.032258065,0.002,1,1,0.001818182,0.162989324,0.035714286,0.01317716,0.072674419,Vegetable,1,Fruit
Cabbage,0.105263158,0.027716186,0.077419355,0.032258065,0.001,1,1,0.008181818,0.120996441,0.030612245,0.058565154,0.063953488,Vegetable,1,Fruit
Radish,0.157894737,0.017738359,0.043870968,0.022580645,0.001,1,1,0.001818182,0.143772242,0.025510204,0.036603221,0.046511628,Other,1,Fruit
Mushrooms,0.105263158,0.024390244,0.042580645,0.1,0.003,1,1,0.004545455,0.22633452,0.022959184,0.002928258,0.029069767,Other,1,Fruit
Tomatoes,0.157894737,0.019955654,0.050322581,0.029032258,0.002,1,1,0.004545455,0.168683274,0.028061224,0.017569546,0.034883721,Other,1,Fruit
Celery,0.157894737,0.006651885,0.015483871,0.009677419,0.001,1,1,0.031818182,0.074021352,0.015306122,0.060029283,0.01744186,Other,1,Fruit
Lettuce,0.105263158,0.005543237,0.011612903,0.016129032,0.001,1,1,0.004545455,0.100355872,0.015306122,0.026354319,0.014534884,Other,1,Fruit
Onions,0.105263158,0.044345898,0.116129032,0.035483871,0.001,1,1,0.002727273,0.103914591,0.025510204,0.033674963,0.049418605,Other,1,Fruit
Garlic,0.315789474,0.16518847,0.427096774,0.206451613,0.005,1,1,0.015454545,0.285409253,0.06377551,0.265007321,0.061046512,Carb,1,Fruit
Ginger,0.157894737,0.088691796,0.229677419,0.058064516,0.008,1,1,0.011818182,0.295373665,0.109693878,0.023426061,0.031976744,Carb,1,Fruit
Cauliflower Rice,0.157894737,0.027716186,0.068387097,0.061290323,0.003,1,1,0.027272727,0.212811388,0.038265306,0.032210835,0.058139535,Vegetable,1,Fruit
Coconut Milk,0.431578947,0.611973392,0.08516129,0.177419355,0.572,1,1,0.013636364,0.187188612,0.066326531,0.020497804,0.014534884,Protein,1,Fruit
Almond Milk,0.263157895,0.043237251,0.019354839,0.032258065,0.03,1,1,0.169090909,0.120996441,0.022959184,0.165446559,0.01744186,Other,1,Fruit
Soy Milk,0.263157895,0.059866962,0.050322581,0.106451613,0.027,1,1,0.039090909,0.083985765,0.079081633,0.174231332,0.011627907,Other,1,Fruit
Greek Yogurt,0.115789474,0.0654102,0.046451613,0.322580645,0.004,1,1,0.034545455,0.100355872,0.017857143,0.172767204,0,Protein,1,Fruit
Chia Seeds,0.010526316,0.152993348,0.158709677,0.151612903,0.088,1,1,0.014545455,0.113879004,0.196428571,0.9238653,0.308139535,Other,1,Fruit
Flaxseeds,0.526315789,0.592017738,0.372903226,0.590322581,0.422,1,1,0.027272727,0.578647687,1,0.373352855,0.793604651,Carb,1,Fruit
Oats,0.578947368,0.431263858,0.851612903,0.548387097,0.069,1,1,0.001818182,0.305338078,0.451530612,0.079062958,0.308139535,Carb,1,Fruit
Brown Rice,0.526315789,0.239467849,0.590967742,0.14516129,0.016,1,1,0.001818182,0.061209964,0.109693878,0.014641288,0.101744186,Carb,1,Fruit
Quinoa,0.557894737,0.133037694,0.27483871,0.141935484,0.019,1,1,0.004545455,0.122419929,0.163265306,0.02489019,0.081395349,Carb,1,Protein
Lentils,0.336842105,0.39135255,0.818064516,0.793548387,0.011,1,1,0.001818182,0.679715302,0.091836735,0.054172767,0.311046512,Carb,1,Protein
Black Beans,0.315789474,0.37804878,0.80516129,0.696774194,0.012,1,1,0.001818182,0.854092527,0.306122449,0.308931186,0.48255814,Carb,1,Protein
Chickpeas,0.294736842,0.403547672,0.79483871,0.612903226,0.0604,1,1,0.021818182,0.622775801,0.201530612,0.065885798,0.505813953,Carb,1,Protein
Salmon,0,0.228381375,0,0.709677419,0.13,1,1,0.042727273,0.446975089,0.081632653,0.019033675,0,Protein,1,Protein
Tuna,0,0.128603104,0,0.838709677,0.01,1,1,0.031818182,0.237010676,0.056122449,0.005856515,0,Protein,1,Protein
Chicken Breast,0,0.182926829,0,1,0.036,1,1,0.067272727,0.23772242,0.073979592,0.016105417,0,Protein,1,Protein
Turkey Breast,0,0.178492239,0,0.987096774,0.032,1,1,0.06,0.22633452,0.066326531,0.021961933,0,Protein,1,Protein
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.270462633,0.053571429,0.014641288,0,Protein,1,Protein
